CAL_WO_ID,CAL_Level_ID,TestID,CAL_SP_ID,CAL_State_ID,CV,Deviation,Expected_RLU,RLU,CalDef_Conc,AnalyteMean,AnalyteCV,AnalyteSD,AnalyteMedian,RLU_SD,RLU_Median,CAL_SP_Onboard_Status
53,2,1559,105,6,0.574962225,-0.02390331,12504485,12088752,103,97.45087668,0.931833865,0.908080271,97.54255924,69505.75552,12095926,0
94,2,81,184,6,0.303779654,-0.028721134,6461657,6204374,20.5,19.80559761,0.257089391,0.05091809,19.79238625,18847.62587,6199483,0
82,2,365,161,6,0.135416189,-0.168990587,5840677,4587812,617,449.2849915,0.171484037,0.770452039,449.2849915,6212.64018,4587812,0
26,2,365,52,6,0.982023031,-0.166816659,5840677,4601990,617,451.0544775,1.243297203,5.607947704,452.6697471,45192.60171,4615063,0
73,2,84,143,6,0.743877976,-0.171392266,4183185,3280874,138,92.94034247,1.113957964,1.035316347,93.45790271,24405.70159,3293088,0
64,2,73,127,6,0.786181261,-0.40053067,2697585,1467819,14.5,7.545848051,0.813328268,0.061372515,7.580147025,11539.71531,1474268,0
38,2,497,78,6,0.707681943,0.102411701,2642124,3056777,3.81,4.470905871,0.786245252,0.035152285,4.463095099,21632.2565,3051982,0
92,2,85,180,6,1.766193687,-0.206137708,2034490,1512924,7.84,5.85793352,1.718735167,0.100682363,5.853684138,26721.16229,1511802,0
65,2,1831,129,6,0.17393795,-0.397959098,1909166,1042863,67.7,29.71007708,0.218721541,0.064982338,29.68239034,1813.933939,1042090,0
74,2,1832,145,6,0.763599517,-0.052959894,1902560,1767916,2.69,2.428995358,1.044504033,0.025370954,2.432711003,13499.79804,1769918,0
27,2,364,54,6,1.071631899,0.006620855,1785975,1802796,65.4,66.07264336,1.17012595,0.773133146,65.71680031,19319.34058,1793909,0
75,2,1829,147,6,2.339913921,-0.007788918,1657078,26345,157,0.212284921,29.91506657,0.063505175,0.180284001,616.4503224,26034,0
28,2,366,56,6,0.604096426,-0.206786126,1504503,1117524,509,360.7210097,0.689027217,2.485465933,361.3458757,6750.924554,1119224,0
48,1,72,94,6,1.561852458,-0.174663444,1411073,1098649,31,66.37770446,3.608319654,2.395119756,65.67171001,17159.27641,1103602,0
66,2,1828,131,6,2.294396093,-0.374780155,1383320,786916,538,300.1361202,2.335427918,7.009462741,301.9223657,18054.97761,791524,0
67,1,89,132,6,2.024541284,-0.014463373,1297359,1270986,22.7,24.541425,7.327970484,1.798388381,24.93986542,25731.62953,1264839,0
93,2,83,182,6,1.993723575,-0.067616609,1279305,1162530,1659,1500.892186,2.08497274,31.29319292,1490.930363,23177.63467,1155158,0
12,2,231,27,6,1.067535557,-0.23579383,1258354,893252,112,72.42219531,1.205321719,0.87292045,72.79189266,9535.782716,897300,0
68,2,1826,135,6,0.337603009,-0.107499271,1153661,990712,83.1,63.14547775,0.549408388,0.346926551,63.1760192,3344.673527,991013,0
54,1,87,106,6,1.803413836,-0.023556919,1060325,1025626,21.7,23.15391021,3.408079386,0.789103641,23.44578604,18496.2872,1018671,0
63,2,1830,125,6,3.760111791,-0.433566972,971598,499363,500,239.19617,3.203416705,7.662450067,240.9720401,18776.60704,503921,0
47,2,1824,93,6,0.560267289,-0.108652097,933631,800032,158,132.8872851,0.613105879,0.814739757,132.6414113,4482.315733,798681,0
74,1,1832,144,6,2.354735618,-0.112751182,681804,586678,0.782,0.667248137,2.455906951,0.016386993,0.671902198,13814.72368,590617,0
56,1,1823,110,6,1.055614067,-0.053772975,674108,624828,49,57.00775123,2.035554105,1.160423621,57.09745241,6595.768745,624269,0
91,2,233,178,6,2.829809924,-0.133257838,658124,545109,3.54,2.926496987,2.850214485,0.083411441,2.926496987,15425.53443,545108.5,0
17,2,233,35,6,1.382548442,-0.050679685,658124,613084,3.54,3.294926671,1.397880963,0.046059153,3.271236791,8476.187901,608725,0
67,2,89,133,6,1.039659375,-0.007921628,590928,584287,123,124.6550814,1.214284567,1.513667416,125.3375801,6074.598039,581542,0
46,1,1821,90,6,2.435613716,-0.063360306,511909,468025,76.6,94.51733315,5.232322035,4.945451249,91.89556742,11399.27297,474053,0
73,1,84,142,6,6.27769574,-0.280035224,491466,339093,10.3,7.063005708,6.352685845,0.448690564,7.116243916,21287.24774,341631,0
42,1,1558,83,6,1.157024047,-0.262943137,445444,307615,0.886,1.939169346,1.745337899,0.033845058,1.936206207,3559.18338,307926,0
50,2,77,99,6,1.823461958,-0.040500887,444411,419606,997,880.5919779,3.846465042,33.87166259,892.2066499,7651.349707,422276,0
5,1,226,9,6,0.711940395,-0.159084822,384879,303824,0.613,1.122890731,1.342281802,0.015072358,1.122100996,2163.048158,303933,0
49,1,82,96,6,1.263277283,-0.05167337,381677,354750,0.856,1.11225646,4.10860106,0.045698181,1.123384154,4481.480373,353629,0
52,2,74,103,6,0.854323471,-0.115039052,363225,308521,151,123.4209378,1.017921922,1.256328782,123.0902642,2635.764468,307830,0
89,2,70,174,6,0.136490773,0.049414776,355697,381354,32.3,34.68854272,0.139869146,0.048518569,34.68605619,520.5125679,381327,0
62,1,75,122,6,1.187479187,-0.114694497,354583,301881,2.59,3.072143439,1.20565842,0.037039556,3.054046492,3584.778003,303628,0
38,1,497,77,6,5.249154771,0.123347147,339550,405860,0.51,0.599362566,4.790063577,0.028709848,0.596892113,21304.20206,404027,0
60,1,1827,118,6,1.663441314,-0.070698178,287534,260488,3.28,3.930927044,2.956898489,0.116233522,3.948530074,4333.059466,259780,0
3,1,75,5,6,0.384001268,-0.186962846,258178,197674,2.6,3.456148873,0.378750643,0.013090186,3.455154309,759.0693864,197730,0
57,2,1822,113,6,3.104299296,-0.145525615,244705,198879,52.2,42.70494267,3.139289366,1.340631724,42.45037416,6173.799397,197681,0
51,2,1825,101,6,1.925351852,-0.069110704,240643,218227,327,295.509996,1.983282101,5.860796856,298.4168628,4201.644004,220312,0
11,1,227,24,6,0.501482542,-0.338439316,226842,136622,4,7.256139602,0.51095999,0.03707597,7.261265964,685.1338069,136525,0
23,1,365,45,6,0,0,144602,0,9.49,0,0,0,0,0,0,0
24,1,364,47,6,0,0,34797,0,0.936,0,0,0,0,0,0,0
24,2,364,48,6,0,0,1785975,0,65.4,0,0,0,0,0,0,0
25,1,366,49,6,0,0,175397,0,48.9,0,0,0,0,0,0,0
25,2,366,50,6,0,0,1504503,0,509,0,0,0,0,0,0,0
75,1,1829,146,6,1.735526824,-0.000913042,216008,26164,18,0.193607269,24.27597955,0.047000061,0.18920033,454.077453,26120,0
81,1,88,158,6,1.160948694,0.033459404,206194,216040,266,242.9717839,2.31808875,5.632301586,242.9717839,2508.107753,216039.5,0
80,1,88,156,6,2.292402175,0.05517368,206194,222552,266,228.8178155,4.746931127,10.86182411,228.8178155,5101.775426,222551.5,0
22,1,88,43,6,4.993396986,-0.176604867,201779,155187,277,428.0838171,7.5728543,32.41816375,417.3640026,7749.10298,157598,0
41,1,227,81,6,5.843517443,-0.272766362,188866,127245,3.76,6.146861568,6.774396798,0.416412793,6.000100379,7435.564292,129704,0
91,1,233,177,6,3.280158747,-0.161847471,175836,140466,0.956,0.770159844,3.138621884,0.024172405,0.770159844,4607.507786,140466,0
17,1,233,34,6,4.46512455,-0.100392569,175836,153498,0.956,0.838574424,4.293108393,0.036000909,0.831171079,6853.891766,152090,0
28,1,366,55,6,1.590112963,-0.220889054,175397,128037,48.9,35.42667977,1.615103461,0.572177531,35.11732688,2035.927635,126936,0
92,1,85,179,6,3.098682631,-0.237968975,157076,112360,0.688,0.498819987,2.998857174,0.014958899,0.496281966,3481.669475,111766,0
36,2,67,74,6,0.984828277,-0.141872971,155220,126550,234,184.7298133,1.129357452,2.086259913,185.0375106,1246.303468,126735,0
42,2,1558,84,6,1.821516672,-0.350824548,154008,96387,4.47,7.945339441,2.183108715,0.173455398,8.00500643,1755.711347,95767,0
59,2,67,117,6,1.85292277,-0.171926978,147541,115229,234,175.0488067,2.154799009,3.771949952,173.3410258,2135.098202,114263,0
4,2,67,8,6,0.810136481,-0.189313053,145659,110856,234,170.3064562,0.930621168,1.584907933,170.4302186,898.0875978,110927,0
82,1,365,160,6,1.704261259,-0.27053818,144602,100615,9.49,5.915562414,2.358655371,0.139527731,5.915562414,1714.733944,100614.5,0
26,1,365,51,6,0.550649053,-0.244255525,144602,103723,9.49,6.168470869,0.753207809,0.046461404,6.151551056,571.1497177,103515,0
35,1,76,71,6,1.983326582,-0.320447434,132428,83427,0.891,1.796465849,2.707916444,0.048646794,1.796465849,1654.629868,83427,0
43,1,76,85,6,1.293232908,-0.306592733,132428,85352,0.891,1.740917093,1.77846592,0.030961617,1.740917093,1103.793685,85351.5,0
34,1,76,69,6,0.267912385,-0.303829461,132428,85514,0.891,1.736171609,0.368671806,0.006400775,1.736171609,229.1025971,85514,0
44,1,76,87,6,0.723788622,-0.304768575,132428,85581,0.891,1.734356581,0.996245304,0.017278446,1.734356581,619.4255403,85581,0
72,1,76,140,6,1.733873848,-0.150696982,132428,107053,0.891,1.257222368,2.623037462,0.032977414,1.257222368,1856.155301,107052.5,0
71,1,76,138,6,0.896111736,-0.145362146,132428,108026,0.891,1.239884062,1.362330403,0.016891318,1.239884062,968.0291834,108025.5,0
15,1,76,30,6,1.528826621,-0.143611464,132428,108368,0.891,1.234077554,2.328143869,0.028731101,1.234077554,1656.751188,108367.5,0
2,1,76,3,6,1.914579093,-0.088552794,127262,112117,0.954,1.1714176,2.940242605,0.034442519,1.190291879,2146.575024,110939,0
19,1,76,38,6,0.655273301,-0.074074245,127262,114169,0.954,1.138342928,1.028395088,0.011706663,1.138342928,748.1189745,114169,0
20,1,76,40,6,2.095302631,-0.045233992,127262,119162,0.954,1.063753246,3.378914496,0.035943313,1.063753246,2496.794044,119161.5,0
55,1,78,108,6,0.897042942,-0.300734037,119626,77070,2.27,4.092919544,1.067562978,0.043694494,4.090182687,691.3539855,77110,0
90,1,78,175,6,0.405058521,-0.290648046,119626,78382,2.27,4.011153016,0.485076512,0.019457161,4.011153016,317.4909448,78381.5,0
85,1,78,166,6,2.766968172,-0.079323691,119626,102145,2.27,2.86032847,3.811257057,0.109014471,2.86032847,2826.305804,102144.5,0
84,1,78,164,6,0.959270772,-0.078513913,119626,102461,2.27,2.847017528,1.3241841,0.037699753,2.847017528,982.8784258,102461,0
5,2,226,10,6,1.974078881,-0.071150382,119048,106357,3.63,4.301327084,3.465828562,0.149076623,4.289633389,2099.577656,106435,0
37,2,67,76,6,3.285691309,0.103536394,109303,126717,234,279.7868895,4.009282599,11.21744707,279.7797729,4163.518504,126731,0
56,2,1823,111,6,1.235754323,-0.077753759,99726,89517,777,893.4873019,1.605333036,14.34344683,892.4285534,1106.210197,89588,0
88,2,90,172,6,1.559298056,0.135382916,76756,93235,1.84,2.303062038,1.777093063,0.040927556,2.303062038,1453.811542,93235,0
1,2,90,2,6,3.389142105,0.147971586,76756,94794,1.84,2.346974173,3.854371595,0.090461106,2.389775247,3212.692069,96314,0
80,2,88,157,6,2.874951063,-0.019750848,72471,70614,1098,1129.333136,3.05984095,34.55579776,1129.333136,2030.103569,70613.5,0
81,2,88,159,6,0.801876731,-0.01073563,72471,71427,1098,1115.22306,0.856286238,9.549501581,1115.22306,572.7564928,71427,0
22,2,88,44,6,1.296546067,-0.096710373,64034,54992,1251,1460.332193,1.284211804,18.75375839,1468.281094,713.000935,54688,0
68,1,1826,134,6,0.842530495,-0.194534177,59560,45899,2.29,1.85192629,0.654255778,0.012116335,1.848103726,386.7130719,45777,0
60,2,1827,119,6,0.691649405,-0.155691906,59069,48076,38.8,50.20638766,0.852697971,0.428108849,49.98377486,332.5196736,48249,0
78,2,91,151,6,1.800529757,-0.469435761,58451,27923,8.8,3.629744877,2.274911692,0.082573491,3.629744877,502.7529214,27922.5,0
29,2,91,58,6,1.603424936,-0.272541483,58451,39117,8.8,5.493093652,1.923070884,0.105636085,5.493093652,627.2037149,39116.5,0
7,2,91,14,6,1.307436702,-0.24080382,58451,41158,8.8,5.83747981,1.558305545,0.090965772,5.83747981,538.1082605,41157.5,0
46,2,1821,91,6,1.185816104,-0.079040997,57776,51726,832,937.3251301,1.325008015,12.4196331,933.703079,613.3712851,51900,0
48,2,72,95,6,3.413007944,-0.168171676,56034,43990,2091,2621.727852,3.167557958,83.04474922,2629.125808,1501.370818,43824,0
6,2,91,12,6,2.126503528,-0.181462953,54055,41403,8.8,6.522478342,2.406841131,0.156985691,6.516696041,880.4362555,41371,0
87,2,95,170,6,0.520343197,-0.075860173,48613,43979,2.1,1.920031544,0.466091335,0.008949101,1.920920026,228.8434691,44002,0
54,2,87,107,6,0.042098878,-0.070277152,48597,44142,1200,1385.653094,0.064521264,0.894040891,1386.069938,18.58314649,44133,0
11,2,227,25,6,1.226903305,-0.309786063,46626,29060,23.1,34.69510598,0.940917095,0.326452183,34.6988053,356.5421901,29054,0
89,1,70,173,6,2.14374003,0.003369116,46529,46743,3.56,3.580646352,2.698723404,0.096631741,3.569493255,1002.048402,46627,0
41,2,227,82,6,1.137830042,-0.305336415,45143,29274,20.3,30.3234652,0.864467209,0.262136413,30.42893025,333.0845738,29139,0
49,2,82,97,6,1.36440113,-0.051602112,45057,41883,28.5,31.09739085,1.617456525,0.502986777,31.2163644,571.4475771,41743,0
66,1,1828,130,6,1.726730351,-0.377767351,44718,25351,16.9,9.27554812,1.876460033,0.174051953,9.347793858,437.7491671,25533,0
62,2,75,123,6,1.165778786,-0.280473077,41729,29244,13.6,21.00190333,1.624802742,0.341239501,20.93229299,340.924234,29311,0
16,2,232,33,6,2.010460926,-0.13284217,41708,34346,10.1,8.319977043,2.027266575,0.168668114,8.405164054,690.5196111,34695,0
63,1,1830,124,6,4.448913219,-0.519806853,39642,18578,22,9.064943408,6.425373216,0.582456446,8.774355259,826.5339275,18165,0
1,1,90,1,6,0.986178085,0.146950424,36846,45431,0.717,0.96013096,1.316954359,0.012644487,0.957949525,448.0338529,45354,0
88,1,90,171,6,2.598763882,0.148188111,36846,45685,0.717,0.967270481,3.463582622,0.033502212,0.967270481,1187.232286,45684.5,0
35,2,76,72,6,1.856616914,-0.404291998,36337,20871,5.26,11.63155123,3.030140172,0.352452306,11.63155123,387.4945161,20871,0
43,2,76,86,6,0.603333431,-0.401591211,36337,21096,5.26,11.42571514,0.97748119,0.111684216,11.42571514,127.2792206,21096,0
44,2,76,88,6,0.6077325,-0.398613214,36337,21176,5.26,11.35595828,0.982103768,0.111527294,11.35595828,128.6934342,21176,0
34,2,76,70,6,0.788929582,-0.377830649,36337,21601,5.26,11.00014907,1.258418596,0.138427921,11.00014907,170.4127343,21600.5,0
15,2,76,31,6,3.150182619,-0.227942526,36337,26869,5.26,7.932808247,4.490140172,0.35619421,7.932808247,846.4068171,26868.5,0
71,2,76,139,6,1.196528442,-0.214790684,36337,27244,5.26,7.771377832,1.696061224,0.131807326,7.771377832,325.9762261,27243.5,0
58,1,67,114,6,0,0,8560,0,6.05,0,0,0,0,0,0,0
58,2,67,115,6,0,0,147541,0,234,0,0,0,0,0,0,0
72,2,76,141,6,3.291225644,-0.192001357,36337,27909,5.26,7.518265113,4.622523532,0.347533574,7.518265113,918.5317088,27908.5,0
27,1,364,53,6,3.524298748,0.080225023,34797,39232,0.936,1.102477436,4.69481971,0.051759328,1.115118017,1382.652885,39569,0
2,2,76,4,6,1.358574655,-0.055344595,30374,28009,6.68,7.474180064,1.891870214,0.141401786,7.512783344,380.5277038,27902,0
19,2,76,39,6,0.667641276,0.036570008,30374,32197,6.68,6.173549793,0.896329052,0.05533532,6.173549793,214.9604615,32197,0
20,2,76,41,6,0.84497579,0.04928771,30374,32804,6.68,6.021175043,1.128988327,0.067978363,6.021175043,277.1858582,32804,0
3,2,75,6,6,1.296186695,-0.238643336,28723,20654,15.6,0,0,0,0,267.7144001,20769,0
61,1,75,120,6,0,0,354583,0,2.59,0,0,0,0,0,0,0
61,2,75,121,6,0,0,41729,0,13.6,0,0,0,0,0,0,0
93,1,83,181,6,0.61767466,-0.130430836,27100,22702,29.4,24.19464503,0.684214941,0.165543376,24.14544816,140.2224423,22660,0
57,1,1822,112,6,2.422091665,-0.165345012,20579,16309,3.25,2.404200712,3.300710537,0.079355706,2.371232908,395.0270033,16145,0
12,1,231,26,6,3.199138096,-0.043014414,20178,18778,1.28,1.165475145,4.254209129,0.04958175,1.19252764,600.7448155,19106,0
90,2,78,176,6,3.272289872,-0.342083963,19595,12101,17,28.1137014,3.575312825,1.005152772,28.1137014,395.9797975,12101,0
55,2,78,109,6,3.128685477,-0.336752308,19595,12109,17,28.0980815,3.36175834,0.944589598,28.41530065,378.8420955,11976,0
84,2,78,165,6,2.498256412,0.282726871,19595,49391,17,6.703102611,2.618347564,0.175510524,6.703102611,1233.901333,49390.5,0
85,2,78,167,6,1.449085282,0.281195718,19595,49822,17,6.640947114,1.521212724,0.101022933,6.640947114,721.9560236,49821.5,0
87,1,95,169,6,9.994783379,-0.829420703,11268,5236,0.5,0.128377276,31.32317474,0.040211838,0.1098459,523.3268577,4990,0
36,1,67,73,6,3.912268813,0.009822553,8801,8941,6.05,6.244412136,7.764652076,0.484856877,6.18015869,349.8089955,8895,0
53,1,1559,104,6,1.590720348,-0.052222033,8706,8098,0.03,0.02716852,2.20548011,0.000599196,0.026867697,128.8112314,8033,0
59,1,67,116,6,1.982928796,-0.09945197,8560,7366,6.05,4.382937926,4.636824037,0.203229119,4.376394697,146.0559254,7361,0
4,1,67,7,6,3.805368616,-0.108818926,8212,6957,6.05,4.216294932,9.168230466,0.386559636,4.235265617,264.7394946,6970,0
52,1,74,102,6,2.940210086,-0.306566012,6711,4558,1.2,0.516874041,7.643106485,0.039505233,0.517138262,134.004975,4559,0
94,1,81,183,6,2.406287209,-0.049871734,6471,6037,0,0,0,0,0,145.2595378,6072,0
51,1,1825,100,6,1.628150641,-0.158642025,6341,5131,6.36,4.82546345,2.218291966,0.107042868,4.821681566,83.54040938,5128,0
37,1,67,75,6,3.410687832,0.211136326,6056,8414,6.05,10.40863328,5.134155375,0.534395405,10.70779506,286.9866431,8575,0
50,1,77,98,6,1.363300937,0.124996302,5739,7020,4.67,6.040093302,1.637012008,0.098877053,6.054006831,95.69918147,7033,0
78,1,91,150,6,6.53297812,-0.427448606,5205,2609,0.1,0,0,0,0,170.4127343,2608.5,0
7,1,91,13,6,4.329225191,-0.187918504,5205,3920,0.1,0,0,0,0,169.7056275,3920,0
29,1,91,57,6,2.036525201,-0.180147059,5205,3924,0.1,0,0,0,0,79.90306627,3923.5,0
65,1,1831,128,6,3.50593564,-0.157574503,4332,3260,0,0,0,0,0,114.2818154,3226,0
64,1,73,126,6,3.859988097,-0.666905765,3547,1481,0,0,0,0,0,57.16642371,1513,0
16,1,232,32,6,1.813966318,0.099088899,3508,4176,0.1,0.332955604,7.572352722,0.025212573,0.326790513,75.74518687,4157,0
6,1,91,11,6,3.760209103,0.102001961,3214,3880,0.1,0.194225737,10.82194869,0.02101901,0.187951569,145.9086472,3837,0
47,1,1824,92,6,2.925080785,-0.061816944,1748,1596,0,0,0,0,0,46.69403959,1580,0
79,1,92,153,6,2.410936257,0,0,4330,0.1,0,0,0,0,104.3855035,4377,0
79,1,93,152,6,7.468675011,0,0,4591,0.1,0,0,0,0,342.8619742,4424,0
9,1,93,19,6,5.329628563,0,0,4678,0.1,0,0,0,0,249.3377896,4609,0
79,2,93,154,6,4.49125324,0,0,4766,8.8,0,0,0,0,214.0381586,4761,0
8,1,92,16,6,3.237470079,0,0,4813,0.1,0,0,0,0,155.8086433,4764,0
9,1,92,20,6,4.499808099,0,0,4850,0.1,0,0,0,0,218.2406928,4725,0
8,1,93,15,6,4.071632871,0,0,4926,0.1,0,0,0,0,200.5550631,4874,0
9,2,93,21,6,2.817893339,0,0,4978,8.8,0,0,0,0,140.2747304,4934,0
8,2,93,17,6,3.901818345,0,0,5041,8.8,0,0,0,0,196.7036688,5138,0
31,1,93,63,6,5.959628647,0,0,5658,0.1,0,0,0,0,337.1957888,5838,0
30,1,92,60,6,1.625186872,0,0,5661,0.1,0,0,0,0,92.00724609,5702,0
30,1,93,59,6,2.89532137,0,0,5793,0.1,0,0,0,0,167.725967,5775,0
30,2,93,61,6,2.648795934,0,0,5885,8.8,0,0,0,0,155.8728114,5927,0
83,1,232,162,6,0,0,2613,0,0.1,0,0,0,0,0,0,0
83,2,232,163,6,0,0,22790,0,6.84,0,0,0,0,0,0,0
31,1,92,64,6,5.677144803,0,0,6148,0.1,0,0,0,0,349.0119387,6151,0
31,2,93,65,6,2.649799145,0,0,6181,8.8,0,0,0,0,163.7752525,6226,0
79,2,92,155,6,1.818123733,0,0,25796,8.8,0,0,0,0,469.0031983,25746,0
30,2,92,62,6,1.873880805,0,0,33093,8.8,0,0,0,0,620.1233748,32974,0
31,2,92,66,6,2.131250929,0,0,33377,8.8,0,0,0,0,711.3405186,32974,0
9,2,92,22,6,1.436980455,0,0,34094,8.8,0,0,0,0,489.9289064,34118,0
8,2,92,18,6,2.16083257,0,0,34883,8.8,0,0,0,0,753.7632254,34470,0
13,1,228,28,6,1.507643273,0,0,134467,1.49,0,0,0,0,2027.275142,134466.5,0
14,1,228,29,6,1.85483635,0,0,137279,1.49,0,0,0,0,2546.291519,137278.5,0
10,1,228,23,6,0.997637127,0,0,146047,1.44,0,0,0,0,1457.02242,145673,0
21,1,228,42,6,2.751029947,0,0,153578,1.44,0,0,0,0,4224.963018,153577.5,0
32,1,228,67,6,0.511872326,0,0,164803,1.49,0,0,0,0,843.57839,164802.5,0
33,1,228,68,6,0.607809171,0,0,170550,1.49,0,0,0,0,1036.618541,170550,0
86,1,228,168,6,1.423715099,0,0,186646,1.49,0,0,0,0,2657.307284,186646,0
39,1,228,79,6,1.182139383,0,0,191650,1.49,0,0,0,0,2265.570127,191650,0
45,1,228,89,6,1.713986429,0,0,208380,1.49,0,0,0,0,3571.596352,208379.5,0
40,1,228,80,6,1.479388448,0,0,209209,1.49,0,0,0,0,3095.006381,209208.5,0
70,1,228,137,6,0.021670081,0,0,411145,1.49,0,0,0,0,89.09545443,411145,0
69,1,228,136,6,1.893079983,0,0,412406,1.49,0,0,0,0,7807.165971,412405.5,0
76,1,228,148,6,0.497024248,0,0,488264,1.49,0,0,0,0,2426.790473,488264,0
77,1,228,149,6,1.006292848,0,0,488366,1.49,0,0,0,0,4914.392129,488366,0
